id,name,club,countryName
5180,Victoria Gersten,Victoria Gersten,Germany
5181,FFV Neubrandenburg,FFV Neubrandenburg,Germany
5182,1. FFC Turbine Potsdam II,Turbine Potsdam II,Germany
5183,Tennis Borussia Berlin,Tennis Borussia,Germany
5184,Wolfenbuttel,Wolfenbuttel,Germany
5185,FSV Gütersloh 2009,Gütersloh,Germany
5186,TSV Jahn Calden,Jahn Calden,Germany
5187,Wattenscheid 09,Wattenscheid 09,Germany
5188,Lütgendortmund,Lütgendortmund,Germany
5189,FFC Wacker München,Wacker München,Germany
5190,SC Sand,SC Sand,Germany
5191,Karlsruher SC,Karlsruher SC,Germany
5192,TuS Niederkirchen 1900,TuS Niederkirchen 1900,Germany
5193,FSV Viktoria Jägersburg,Jägersburg,Germany
5194,1. FC Saarbrücken,Saarbrücken,Germany
5195,VfL Sindelfingen II,VfL Sindelfingen II,Germany
5196,1. FFC Frankfurt II,FFC Frankfurt II,Germany
5197,FF USV Jena,USV Jena,Germany
5198,FC Erzgebirge Aue,Erzgebirge Aue,Germany
5199,TSV Bayer 04 Leverkusen,Bayer Leverkusen,Germany
5200,Oberaussem,Oberaussem,Germany
5201,1. FC Lokomotive Leipzig,Lokomotive Leipzig,Germany
5202,Hamburger SV II,Hamburger SV II,Germany
5203,Jungingen,Jungingen,Germany
5473,1. FC Köln II,Köln II,Germany
5474,FC 08 Villingen,Villingen,Germany
5475,FC Bremerhaven,FC Bremerhaven,Germany
5476,FC Ingolstadt 04,Ingolstadt,Germany
5477,FC Kutzhof,FC Kutzhof,Germany
5479,1. FSV Mainz 05 II,Mainz 05 II,Germany
5480,FC Hansa Rostock II,Hansa Rostock II,Germany
5481,MSV 1919 Neuruppin,MSV 1919 Neuruppin,Germany
5482,FC Rot-Weiß Erfurt II,Rot-Weiß Erfurt II,Germany
5483,VfL Bochum 1848 II,Bochum II,Germany
5484,VfL Wolfsburg II,Wolfsburg II,Germany
5514,FC Sachsen Leipzig 1990,Sachsen Leipzig,Germany
5517,Bayer 04 Leverkusen II,Bayer Leverkusen II,Germany
5518,Hertha BSC II,Hertha BSC II,Germany
5519,Hamburger SV II,Hamburger SV II,Germany
5520,SV Werder Bremen II,Werder Bremen II,Germany
5521,TSV 1860 München II,1860 München II,Germany
5522,VfB Stuttgart 1893 II,Stuttgart II,Germany
5523,FC Bayern München II,Bayern München II,Germany
5524,Karlsruher SC II,Karlsruher SC II,Germany
5525,1. FC Kaiserslautern II,Kaiserslautern II,Germany
5800,1. FC Bocholt,FC Bocholt,Germany
5801,1. FC Kleve,Kleve,Germany
5802,1. FC Bad Kötzting,Bad Kötzting,Germany
5803,1. FC Normannia Schwäbisch Gmünd,Normannia Gmünd,Germany
5804,1. FC Nürnberg II,Nürnberg II,Germany
5805,1. FC Passau,Passau,Germany
5806,1. FC Saarbrücken II,Saarbrücken II,Germany
5807,1. FC Schwalmstadt,Schwalmstadt,Germany
