"id","name","countryName"
1059,"U18 Elit Ligi","Turkey"
1168,"U19 Süper Lig","Turkey"
1403,"U21 Süper Lig","Turkey"
1554,"Milli Küme","Turkey"
1555,"Regional Leagues","Turkey"
1567,"Bölgesel Amatör Lig","Turkey"
1594,"U21 1. Lig","Turkey"
1602,"U19 1. Lig","Turkey"
1640,"2. Lig Promotion","Turkey"
1641,"3. Lig Promotion","Turkey"
800,"Ýokary Liga","Turkmenistan"
893,"Premier League","Turks and Caicos Islands"
871,"Super League","Uganda"
1105,"Premier League","Uganda"
-304,"Kremin Cup U17","Ukraine"
-290,"Kremin Cup U16","Ukraine"
-281,"U19 Persha Liga","Ukraine"
-266,"U15 League","Ukraine"
-264,"U14 League","Ukraine"
-263,"U16 League","Ukraine"
-260,"Kremin Cup U15","Ukraine"
-249,"U17 League","Ukraine"
125,"Premier League","Ukraine"
233,"Persha Liga","Ukraine"
559,"Druha Liga","Ukraine"
1077,"U19 League","Ukraine"
1083,"U21 League","Ukraine"
344,"Arabian Gulf League","United Arab Emirates"
574,"Division 1","United Arab Emirates"
827,"Division 1 - Group B","United Arab Emirates"
1090,"Arabian Gulf Reserve League","United Arab Emirates"
1235,"U19 League","United Arab Emirates"
1419,"U18 League","United Arab Emirates"
1421,"Youth League","United Arab Emirates"
-390,"USL League 2","USA"
-389,"USL League 1","USA"
-345,"Carolina Challenge Cup","USA"
-328,"NCAA Men's Soccer Championship","USA"
-324,"USA College Sport Showcase","USA"
-323,"AX Soccer Tours","USA"
-287,"Diamond Cup","USA"
-143,"Development Academy","USA"
-136,"NCAA Men's Soccer","USA"
33,"MLS","USA"
145,"USSF Division 2","USA"
521,"USL 2","USA"
522,"PDL","USA"
917,"NASL","USA"
918,"USL Pro","USA"
1133,"USL Championship","USA"
1538,"US Soccer Development Academy U17/18","USA"
1540,"US Soccer Development Academy U15/16","USA"
1579,"US Soccer Development Academy U16/17","USA"
1580,"US Soccer Development Academy U18/19","USA"
-339,"Supercopa","Uruguay"
162,"Primera División","Uruguay"
532,"Segunda División","Uruguay"
1180,"Segunda B Nacional","Uruguay"
494,"Super League","Uzbekistan"
614,"1st Division","Uzbekistan"
891,"Premia Divisen","Vanuatu"
1142,"National Super League","Vanuatu"
163,"Primera División","Venezuela"
507,"Segunda División","Venezuela"
1260,"U20 League","Venezuela"
234,"V.League 1","Vietnam"
598,"V.League 2","Vietnam"
1326,"U19 Championship","Vietnam"
1344,"Second Division","Vietnam"
1411,"U21 Championship","Vietnam"
74,"Premier League","Wales"
309,"Feeder Leagues","Wales"
235,"Yemeni League","Yemen"
495,"Super League","Zambia"
496,"Premier Soccer League","Zimbabwe"
789,"Regionale 1","Réunion"
440,"Super Liga","Serbia"
441,"Prva Liga","Serbia"
442,"Srpska Liga","Serbia"
445,"First League","Montenegro"
566,"Second League","Montenegro"
1141,"Premier Division","Gibraltar"
735,"Division d'Honneur","Guadeloupe"
848,"Division d'Honneur","Martinique"
849,"Division d'Honneur","French Guiana"
1013,"A-Division","Tuvalu"
-197,"Superkupa Kosovo","Kosovo"
-174,"Cup","Kosovo"
1152,"Superliga","Kosovo"
-362,"Intercontinental Cup","World"
-356,"We love football U15","World"
-292,"IBERCUP - Cascais","World"
-288,"Sheikh Kam Cup","World"
-277,"Beach Soccer World Cup","World"
-276,"Futsal","World"
-247,"waterpolo","World"
-227,"Copa Chivas Internacional U18","World"
-194,"Durban Cup","World"
-187,"Lazio Cup","World"
-183,"Aspire Challenge U15","World"
-158,"FIFA Youth Cup Blue Stars","World"
-157,"Mediterranean Games U19","World"
-151,"Spartak Cup U17","World"
-134,"Next Lions","World"
-95,"Valentin Granatkin Memorial U18 ","World"
-94,"Qabala Cup U15","World"
-87,"Arab Nations Cup","World"
-85,"Lion City Cup","World"
-71,"Other Friendlies","World"
1355,"Bonaire League","Bonaire"
